Субъект федерации	Средняя прибыль,млн рублей	Общая прибыль,млн рублей
1	Свиблово	765,31	2 346 437,50
2	Пресненский	56,68	1 274 254,16
3	Якиманка	63,67	485 253,64
4	Крылатское	120,15	418 227,32
5	Тверской	20,71	406 569,77
6	Арбат	52,23	404 661,20
7	Замоскворечье	27,07	333 716,39
8	Хамовники	18,46	331 695,66
9	Красносельский	20,85	298 849,46
10	Басманный	12,07	295 038,92
11	Таганский	20,70	260 823,47
12	Донской	25,93	233 900,21
13	Даниловский	9,82	180 945,68
14	Хорошевский	23,83	177 942,70
15	Мещанский	12,31	174 517,50
16	Москворечье-Сабурово	38,26	129 933,05
17	Выхино-Жулебино	20,47	111 318,73
18	Нижегородский	18,00	110 954,11
19	Можайский	11,08	101 558,26
20	Силино	102,33	88 824,63
21	Академический	12,25	83 394,03
22	Гагаринский	19,92	72 638,76
23	Черемушки	10,15	70 781,45
24	Дорогомилово	12,83	66 120,36
25	Беговой	14,23	62 543,28
26	Тропарево-Никулино	16,31	60 149,29
27	Алексеевский	9,44	59 017,39
28	Соколиная гора	8,26	58 646,18
29	Обручевский	15,14	57 889,38
30	Савеловский	19,55	55 193,90
31	Войковский	12,30	55 094,09
32	Филевский парк	11,70	53 243,84
33	Аэропорт	9,35	51 726,12
34	Молжаниновский	209,77	50 134,92
35	Нагатино-Садовники	6,62	48 962,66
36	Коньково	6,05	47 613,89
37	Преображенское	9,55	47 096,25
38	Лефортово	6,49	46 828,77
39	Московский	10,36	44 372,07
40	Хорошево-Мневники	7,71	44 112,48
41	Останкинский	7,58	43 878,71
42	Отрадное	8,66	41 847,58
43	Бутырский	7,42	35 633,63
44	Очаково-Матвеевское	6,04	35 087,11
45	Перово	3,38	35 016,06
46	Щукино	7,39	34 899,97
47	Сокольники	5,20	34 137,32
48	Раменки	6,21	34 078,56
49	Проспект Вернадского	15,00	31 492,03
50	Гольяново	5,24	29 878,58
51	Рязанский	4,91	29 787,78
52	Кунцево	7,35	29 608,00
53	Марьина роща	7,27	28 393,01
54	Сокол	4,96	27 287,50
55	Тимирязевский	7,54	24 418,33
56	Нагорный	4,54	23 140,53
57	Чертаново Северное	7,40	20 705,97
58	Котловка	6,50	20 246,64
59	Головинский	3,69	19 679,24
60	Ясенево	5,98	19 452,60
61	Зюзино	3,14	19 350,64
62	Ломоносовский	3,70	18 902,56
63	Ярославский	5,55	18 759,22
64	Фили-Давыдково	6,65	18 566,43
65	Печатники	4,24	17 875,58
66	Покровское-Стрешнево	3,44	16 163,13
67	Южнопортовый	3,48	15 309,95
68	Марьино	2,97	14 751,34
69	Текстильщики	4,38	14 097,94
70	Южное Тушино	3,19	13 306,71
71	Ростокино	4,53	13 034,43
72	Коптево	3,62	12 974,21
73	Царицыно	2,83	12 661,14
74	Ховрино	3,33	12 252,70
75	Сосенское	4,69	12 238,27
76	Богородское	2,72	11 593,78
77	Восточное Дегунино	5,55	11 567,86
78	Строгино	4,24	11 277,29
79	Чертаново Южное	3,75	11 231,56
80	Метрогородок	9,26	10 740,81
81	Бабушкинский	1,92	10 583,61
82	Левобережный	4,50	9 134,82
83	Бирюлево Восточное	2,62	8 611,75
84	Троицк	3,47	8 411,16
85	Люблино	1,85	8 400,26
86	Западное Дегунино	1,89	8 176,12
87	Южное Бутово	0,98	8 171,80
88	Солнцево	3,28	7 864,17
89	Измайлово	2,22	7 314,87
90	Чертаново Центральное	2,50	7 285,74
91	Новогиреево	2,36	7 257,78
92	Северное Бутово	2,27	6 761,97
93	Орехово-Борисово Южное	3,71	6 605,90
94	Митино	1,57	6 350,03
95	Бирюлево Западное	3,78	6 157,91
96	Внуково	10,29	5 842,76
97	Вешняки	3,19	5 810,48
98	Алтуфьевский	4,79	5 476,08
99	Ново-Переделкино	2,71	5 283,23
100	Северное Медведково	2,54	5 063,54
101	Старое Крюково	4,68	4 976,05
102	Матушкино	2,85	4 750,52
103	Бескудниковский	3,19	4 590,81
104	Братеево	3,23	4 528,90
105	Нагатинский затон	1,41	4 448,56
106	Лосиноостровский	1,63	4 403,20
107	"Мосрентген"	7,71	4 385,67
108	Дмитровский	2,17	4 373,71
109	Капотня	10,03	4 283,48
110	Теплый Стан	2,27	4 260,55
111	Савелки	2,46	4 246,35
112	Северное Измайлово	2,02	4 225,61
113	Куркино	2,45	3 956,96
114	Лианозово	2,26	3 853,03
115	Северное Тушино	1,52	3 780,99
116	Ивановское	2,10	3 728,68
117	Марфино	1,88	3 638,27
118	Восточное Измайлово	1,95	3 468,17
119	Кузьминки	1,60	3 338,43
120	Южное Медведково	2,27	3 196,90
121	Щербинка	2,52	2 891,09
122	Бибирево	1,59	2 653,23
123	Кокошкино	23,35	2 521,90
124	Крюково	1,34	2 470,02
125	Зябликово	1,20	2 453,56
126	Михайлово-Ярцевское	15,66	2 443,40
127	Марушкинское	5,91	2 379,79
128	Косино-Ухтомский	1,16	2 369,32
129	Десеновское	4,26	2 036,06
130	Новокосино	0,99	1 726,29
131	Северный	2,16	1 681,95
132	Первомайское	2,25	1 596,04
133	Орехово-Борисово Северное	0,96	1 406,76
134	Щаповское	4,89	1 331,38
135	Некрасовка	0,96	1 282,21
136	Краснопахорское	2,49	822,34
137	Внуковское	1,00	814,38
138	Рязановское	1,31	669,35
139	Вороновское	2,04	584,26
140	Филимонковское	2,34	470,46
141	Роговское	4,30	443,02
142	Воскресенское	0,97	345,64
143	Новофедоровское	1,13	213,83
144	Восточный	0,89	123,48
145	Кленовское	0,11	13,46
146	Киевский	0,07	7,46
