№	Учебное заведение	Округ	Район	Адрес
1	НИУ Высшая школа экономики (ВШЭ)	ЦАО ЮЗАО СЗАО	Академический Басманный Замоскворечье Строгино Якиманка	Москва, ул. Мясницкая, д. 20
2	Московский авиационный институт (МАИ)	САО	Сокол	г. Москва Волоколамское шоссе, д. 4
3	Московский государственный университет имени Ломоносова (МГУ)	ЗАО	Раменки	Москва, Ленинские горы, д. 1
4	Московский государственный технологический университет «СТАНКИН»	ЦАО	Тверской	Москва, Вадковский переулок, дом 3А, строение 1
5	НИУ МГСУ, «Московский государственный строительный университет»	СВАО	Ярославский	Москва, Ярославское шоссе, дом 26
6	Московский автомобильно-дорожный государственный технический университет (МАДИ)	САО	Аэропорт	Москва, Ленинградский проспект, д. 64
7	АНО ВО МИТУ - МАСИ	ЮВАО	Южнопортовый	Волгоградский проспект, дом 32, корпус 11
8	Московский физико-технический институт (МФТИ)	ЦАО ЮЗАО СВАО	Замоскворечье Коньково Щукино	Московская область, г. Долгопрудный, Институтский пер., 9
9	Московский Государственный Лингвистический Университет (МГЛУ)	ЦАО		г. Москва, Остоженка ул., д. 38
10	Московский Государственный Технический Университет (МГТУ) имени Н.Э. Баумана	ЦАО	Басманный	Москва, 2-я Бауманская ул., д. 5, стр. 1
11	Московский энергетический институт, НИУ «МЭИ»	ЦАО ЮВАО	Лефортово	Москва, Красноказарменная улица, дом 14, строение 1А
12	Российский государственный аграрный университет, РГАУ-МСХА им. К.А. Тимирязева	САО	Дегунино Зап	Москва, ул. Тимирязевская, д. 49
13	Российский Государственный Гуманитарный Университет (РГГУ)	ЦАО	Тверской	г. Москва, Миусская площадь, д. 6
14	МГАХИ имени В.И. Сурикова	ЦАО	Таганский	Москва, Товарищеский переулок дом 30
15	Российский государственный геологоразведочный университет им. С. Орджоникидзе (РГГРУ)	ЮЗАО	Обручевский	Москва, улица Миклухо-Маклая, дом 23
16	Российская академия живописи, ваяния и зодчества Ильи Глазунова	ЦАО	Красносельский	Москва, ул. Мясницкая д.21
17	Московский Педагогический Государственный Университет (МПГУ)	ЦАО ЗАО ВАО ЮВАО СВАО	Алексеевский Выхино-Жулебино Красносельский Лефортово Люблино Мещанский Нижегородский Перово Рязанский Таганский Тропарёво-Никулино Хамовники	Москва, улица Малая Пироговская, дом 1, строение 1
18	Московский финансово-юридический университет, МФЮА	ЦАО САО ВАО ЮАО ЮЗАО ЮВАО СВАО ЗелАО	Аэропорт Бибирево Коньково Лефортово Нагорный Пресненский Соколиная гора Южнопортовый	Москва, ул. Введенского, д. 1А
19	Московская государственная консерватория им. П.И.Чайковского	ЦАО	Арбат Пресненский Тверской	Москва, ул. Большая Никитская, д. 13/6
20	Российский университет транспорта (РУТ)	САО ЮАО СВАО	Алексеевский Донской Марьина роща Нагатинский затон Ростокино	Москва, улица Образцова, дом 9, строение 9
21	Московская государственная академия хореографии (МГАХ)	ЦАО	Хамовники	Москва, ул. Фрунзенская 2-я, д. 5
